价格区间,车型,报价(单位：万)
5万以下,瑞纳,"('4.99', '7.39')"
5万以下,艾瑞泽5,"('4.99', '8.58')"
5万以下,远景X3,"('4.99', '6.89')"
5万以下,瑞虎3X,"('4.69', '6.79')"
5万以下,五菱宏光,"('4.28', '5.88')"
5万以下,比亚迪F3,"('4.49', '5.08')"
5万以下,远景,"('4.99', '7.39')"
5万以下,悦翔,"('4.99', '6.79')"
5万以下,嘉际,暂无报价
5万以下,宝骏310W,"('4.28', '7.28')"
5万以下,宝骏310,"('3.68', '6.08')"
5万以下,五菱荣光新卡,"('4.58', '6.28')"
5万以下,东南DX3,暂无报价
5万以下,长安神骐T20,"('3.59', '6.38')"
5万以下,奔奔E-Star,"('2.98', '7.48')"
5万以下,长安星卡,"('3.49', '4.94')"
5万以下,五菱荣光小卡,"('3.56', '4.88')"
5万以下,悦纳,暂无报价
5万以下,五菱宏光S,"('4.28', '5.58')"
5万以下,五菱荣光,"('3.68', '5.38')"
5万以下,五菱之光,"('3.23', '3.66')"
5万以下,宏光MINI EV,"('2.88', '3.88')"
5万以下,BEIJING-X3,"('4.99', '9.59')"
5万以下,奔奔EV,"('4.98', '8.18')"
5万以下,五菱荣光V,"('3.98', '4.98')"
5万以下,五菱宏光V,"('4.18', '5.45')"
5万以下,风光330,"('3.69', '5.19')"
5万以下,东南A5翼舞,"('4.99', '7.89')"
5万以下,新豹T3,"('4.10', '5.18')"
5万以下,宝骏E100,"('4.98', '5.98')"
5万以下,五菱之光小卡,"('3.49', '3.79')"
5万以下,长安欧尚A600,"('4.99', '8.49')"
5万以下,海狮X30L,"('4.68', '5.88')"
5万以下,北汽威旺M30,"('4.48', '5.58')"
5万以下,科莱威CLEVER,"('4.60', '6.00')"
5万以下,小海狮X30,"('3.39', '4.68')"
5万以下,东风小康C32,"('3.89', '5.19')"
5万以下,欧诺S,"('3.99', '5.59')"
5万以下,北汽EC100,"('4.58', '4.98')"
5万以下,长安之星9,"('4.78', '5.48')"
5万以下,福瑞达K21,"('3.74', '7.03')"
5万以下,福瑞达K22,"('3.94', '7.05')"
5万以下,东风小康D51,"('4.09', '5.39')"
5万以下,昌河北斗星,"('4.39', '4.49')"
5万以下,金杯T52,"('4.88', '6.18')"
5万以下,北汽幻速H2,"('3.98', '6.68')"
5万以下,祥菱M,"('4.70', '6.15')"
5万以下,新豹2,"('4.07', '5.48')"
5万以下,睿行S50,"('4.89', '7.79')"
5万以下,东风小康C31,"('3.59', '4.89')"
5万以下,东风小康K07S,"('2.89', '3.39')"
5万以下,开瑞K60,"('4.99', '6.69')"
5万以下,景逸S50,"('4.89', '15.18')"
5万以下,长安神骐F30,"('4.76', '6.38')"
5万以下,金杯T32,"('3.69', '5.08')"
5万以下,长安跨越V3,"('3.30', '3.43')"
5万以下,金杯T30,"('3.39', '4.81')"
5万以下,新豹3,"('4.62', '5.99')"
5万以下,金杯T50,"('4.58', '5.68')"
5万以下,长安之星5,"('3.49', '3.94')"
5万以下,福田奥铃捷运,"('4.00', '14.56')"
5万以下,东风小康K05S,"('2.89', '3.59')"
5万以下,跨越王X1,"('3.96', '5.08')"
5万以下,斯派卡,"('4.99', '7.58')"
5万以下,东风小康K02,"('3.19', '3.79')"
5万以下,北汽威旺M20,"('3.68', '4.18')"
5万以下,东风小康K01,"('2.59', '3.49')"
5万以下,凌宝BOX,"('3.38', '4.58')"
5万以下,五菱之光V,"('3.38', '3.68')"
5万以下,东风小康D52,"('4.39', '5.69')"
5万以下,跨越王X3,"('4.80', '5.64')"
5万以下,伽途ix5,"('4.19', '5.89')"
5万以下,优优,"('3.45', '4.64')"
5万以下,优劲,"('3.29', '6.24')"
5万以下,长安神骐T10,"('3.99', '5.09')"
5万以下,海马爱尚EV,"('3.98', '12.38')"
5万以下,祥菱V,"('4.03', '5.64')"
5万以下,长安星卡C系,"('3.29', '4.53')"
5万以下,乐途,"('3.58', '5.98')"
5万以下,北汽幻速H2V,"('3.58', '3.98')"
5万以下,新豹MINI,"('3.21', '4.25')"
5万以下,尼欧Ⅱ,"('3.99', '10.08')"
5万以下,北汽威旺306,"('3.18', '4.68')"
5万以下,雷丁i3,"('4.98', '6.28')"
5万以下,北汽昌河M50S,"('4.08', '5.38')"
5万以下,启腾EX80,暂无报价
5万以下,长安星卡L1,"('3.99', '5.04')"
5万以下,解放T80,"('3.49', '4.04')"
5万以下,长安跨越V5,"('4.39', '5.88')"
5万以下,东风小康C36,"('4.98', '5.28')"
5万以下,风景V5,"('3.68', '5.18')"
5万以下,东风小康C52,"('4.99', '5.39')"
5万以下,成功V1,"('3.28', '4.00')"
5万以下,博骏,"('4.99', '12.99')"
5万以下,牧马人美版,暂无报价
5万以下,佳宝V77,"('3.09', '3.59')"
5万以下,福田风景,暂无报价
5-8万,捷途X90,"('7.99', '14.29')"
5-8万,长安欧尚X5,"('6.99', '10.29')"
5-8万,哈弗M6,"('6.60', '9.29')"
5-8万,捷途X70 PLUS,"('7.70', '13.90')"
5-8万,长安欧尚X7,"('7.77', '12.99')"
5-8万,逸动,"('7.29', '10.39')"
5-8万,长安CS35PLUS,"('6.99', '10.99')"
5-8万,宝骏530,"('7.08', '11.58')"
5-8万,宝骏510,"('5.08', '8.08')"
5-8万,宝骏730,"('6.08', '10.88')"
5-8万,威驰,"('7.38', '11.18')"
5-8万,帝豪,"('6.98', '9.88')"
5-8万,YARiS L 致炫,"('7.78', '10.38')"
5-8万,瑞虎5x,"('5.99', '11.09')"
5-8万,捷途X70,"('6.99', '12.29')"
5-8万,帝豪GL,"('7.78', '13.98')"
5-8万,飞度,"('7.38', '10.88')"
5-8万,远景X6,"('6.89', '9.99')"
5-8万,荣威i5,"('6.89', '11.59')"
5-8万,瑞虎7,"('7.99', '14.98')"
5-8万,宋MAX,"('7.99', '12.99')"
5-8万,瑞纳,"('4.99', '7.39')"
5-8万,艾瑞泽5,"('4.99', '8.58')"
5-8万,远景X3,"('4.99', '6.89')"
5-8万,瑞虎3X,"('4.69', '6.79')"
5-8万,欧拉黑猫,"('6.98', '8.48')"
5-8万,帝豪GS,"('7.78', '11.68')"
5-8万,缤越,"('7.58', '11.98')"
5-8万,科沃兹,"('7.99', '9.99')"
