级别,车型,报价(单位：万)
微型车,欧拉黑猫,"('6.98', '8.48')"
微型车,小蚂蚁,"('6.68', '7.88')"
微型车,奔奔E-Star,"('2.98', '7.48')"
微型车,零跑T03,"('5.98', '7.58')"
微型车,欧拉白猫,"('7.18', '8.88')"
微型车,宏光MINI EV,"('2.88', '3.88')"
微型车,奔奔EV,"('4.98', '8.18')"
微型车,江淮iEV6E,"('5.95', '7.55')"
微型车,北汽新能源EC3,"('7.38', '7.98')"
微型车,比亚迪e1,"('5.99', '7.99')"
微型车,宝骏E100,"('4.98', '5.98')"
微型车,宝骏E200,"('5.48', '6.48')"
微型车,科莱威CLEVER,"('4.60', '6.00')"
微型车,江铃E200L,"('5.38', '6.38')"
微型车,新宝骏E300,"('6.48', '8.48')"
微型车,北汽EC100,"('4.58', '7.58')"
微型车,昌河北斗星,"('4.39', '4.49')"
微型车,江铃E200N,"('5.68', '6.68')"
微型车,易至EV3,"('6.68', '8.38')"
微型车,LITE,"('11.08', '12.68')"
微型车,凌宝BOX,"('3.38', '4.58')"
微型车,菲亚特500,"('20.98', '26.18')"
微型车,海马爱尚EV,"('3.98', '12.38')"
微型车,巴博斯 smart fortwo,"('20.78', '30.19')"
微型车,尼欧Ⅱ,"('3.99', '10.08')"
微型车,雷丁i3,"('4.98', '6.28')"
微型车,SITECH DEV 1,"('13.99', '16.49')"
微型车,国机智骏GC2,"('6.58', '8.18')"
微型车,国机智骏GC1,"('6.88', '8.38')"
微型车,幸福e+,"('5.98', '6.98')"
微型车,睿行ES30,"('6.68', '6.98')"
微型车,启能GEV 1,"('14.79', '15.59')"
微型车,迈迈,"('15.88', '16.88')"
微型车,朋克美美,"('2.98', '4.68')"
微型车,北汽新能源EC,暂无报价
微型车,比亚迪F0,"('3.79', '4.79')"
微型车,奥拓,"('4.18', '6.19')"
微型车,smart fortwo,暂无报价
微型车,奔奔,暂无报价
微型车,北斗星,暂无报价
微型车,乐驰,暂无报价
微型车,北斗星X5,暂无报价
微型车,众泰E200,暂无报价
微型车,知豆D2,暂无报价
微型车,奇瑞QQ3,暂无报价
微型车,奇瑞eQ,"('15.99', '17.19')"
微型车,悦悦,暂无报价
微型车,云100,暂无报价
微型车,芝麻,暂无报价
微型车,知豆D3,暂无报价
微型车,电咖·EV10,暂无报价
微型车,福莱尔,暂无报价
微型车,全球鹰K11,"('15.28', '18.18')"
微型车,江铃E100B,暂无报价
微型车,全球鹰K10,"('15.08', '15.08')"
微型车,全球鹰K12,暂无报价
小型车,威驰,"('7.38', '11.18')"
小型车,Polo,"('9.99', '12.39')"
小型车,YARiS L 致炫,"('7.78', '10.38')"
小型车,MINI,"('19.08', '37.68')"
小型车,飞度,"('7.38', '10.88')"
小型车,瑞纳,"('4.99', '7.39')"
小型车,悦翔,"('4.99', '6.79')"
小型车,宝骏310,"('3.68', '6.08')"
小型车,悦纳,暂无报价
小型车,焕驰,"('6.49', '6.89')"
小型车,YARiS L 致享,"('7.98', '10.58')"
小型车,威驰FS,"('7.18', '10.78')"
小型车,欧拉好猫,"('10.39', '14.39')"
小型车,MINI CLUBMAN,"('24.58', '32.58')"
小型车,LIFE,"('9.78', '11.28')"
小型车,宝马i3,"('30.58', '30.58')"
小型车,MINI JCW,"('32.58', '36.18')"
小型车,MINI JCW CLUBMAN,"('38.48', '40.98')"
小型车,零跑S01,"('11.99', '15.09')"
小型车,江淮iEV7,"('8.35', '8.95')"
小型车,俊风ER30,"('14.98', '14.98')"
小型车,雷丁i5,"('7.58', '7.58')"
小型车,速达SD01,"('15.00', '15.00')"
小型车,起亚K2,暂无报价
小型车,雨燕,暂无报价
小型车,赛欧,"('6.29', '7.99')"
小型车,骊威,暂无报价
小型车,晶锐,暂无报价
小型车,名爵3,暂无报价
小型车,锋范经典,暂无报价
小型车,KX CROSS,暂无报价
小型车,风云2,暂无报价
小型车,爱唯欧,暂无报价
小型车,奥迪A1,"('18.98', '21.85')"
小型车,夏利N5,暂无报价
小型车,EV系列,"('15.89', '18.99')"
小型车,长安CX20,暂无报价
小型车,悦翔V3,"('4.39', '5.29')"
小型车,羚羊,暂无报价
小型车,夏利N7,暂无报价
小型车,玛驰,"('5.98', '8.75')"
小型车,威志V5,暂无报价
小型车,奇瑞E3,暂无报价
小型车,威志V2,暂无报价
小型车,丘比特,暂无报价
小型车,长城M2,暂无报价
小型车,乐风RV,"('7.49', '9.99')"
小型车,夏利,暂无报价
小型车,秀尔,暂无报价
小型车,利亚纳A6,暂无报价
小型车,悦翔V5,暂无报价
小型车,长城C20R,暂无报价
小型车,思迪,暂无报价
小型车,派力奥,暂无报价
