排名,车型,销量,厂商,售价(万元)
1,哈弗H6,217842,长城汽车,9.80 - 15.49
2,圣达菲00,204037,华泰汽车,0.00 - 0.00
3,途观,199782,上汽大众,0.00 - 0.00
4,本田CR-V,189972,东风本田,16.98 - 27.68
5,北京现代ix35,156876,北京现代,11.99 - 16.19
6,逍客,124589,东风日产,15.49 - 18.89
7,RAV4荣放,117800,一汽丰田,17.48 - 25.88
8,奥迪Q5,102121,一汽-大众奥迪,0.00 - 0.00
9,翼虎,95891,长安福特,16.98 - 24.98
10,汉兰达,95216,广汽丰田,23.98 - 32.58
11,比亚迪S6,93168,比亚迪,0.00 - 0.00
12,海马骑士,91906,海马汽车,0.00 - 0.00
13,智跑,88285,东风悦达起亚,11.99 - 14.89
14,长安CS35,75643,长安汽车,6.39 - 8.79
15,胜达,74437,北京现代,20.28 - 27.28
16,中华V5,73372,华晨中华,8.98 - 14.58
17,传祺GS5,65010,广汽乘用车,10.98 - 16.98
18,哈弗H5,61879,长城汽车,10.78 - 13.68
19,昂科拉,61563,上汽通用别克,12.59 - 15.59
20,翼搏,59680,长安福特,0.00 - 0.00
21,吉利GX7,56524,吉利汽车,0.00 - 0.00
22,标致3008,52318,东风标致,13.97 - 14.97
23,狮跑,44952,东风悦达起亚,0.00 - 0.00
24,奔腾X80,41491,一汽奔腾,0.00 - 0.00
25,奔驰GLK级,40972,北京奔驰,0.00 - 0.00
26,奥迪Q3,38945,一汽-大众奥迪,27.18 - 36.18
27,科帕奇,37601,上汽通用雪佛兰,17.99 - 20.99
28,劲炫ASX,36053,广汽三菱,9.98 - 13.98
29,力帆X60,35303,力帆汽车,0.00 - 0.00
30,众泰5008,33267,众泰汽车,0.00 - 0.00
31,马自达CX-5,22549,长安马自达,17.98 - 24.58
32,宝马X1,22362,华晨宝马,27.88 - 33.98
33,普拉多,20217,一汽丰田,49.48 - 50.48
34,大7 SUV,20217,东风裕隆,0.00 - 0.00
35,荣威W5,17388,上汽集团,0.00 - 0.00
36,奇骏,15327,东风日产,18.88 - 27.33
37,驭胜S350,15095,江铃汽车,12.18 - 20.18
38,猎豹6481,14065,猎豹汽车,0.00 - 0.00
39,旗胜F1,10701,曙光汽车,0.00 - 0.00
40,吉利SX7,10370,吉利汽车,0.00 - 0.00
41,宝利格,9665,华泰汽车,11.58 - 11.58
42,黑金刚,8207,猎豹汽车,0.00 - 0.00
43,旗胜V3,5286,曙光汽车,10.18 - 11.38
44,帕拉丁,4620,郑州日产,0.00 - 0.00
45,瑞虎5,4397,奇瑞汽车,8.88 - 12.38
46,Yeti,4090,上汽斯柯达,0.00 - 0.00
47,帕杰罗·劲畅,3355,广汽三菱,20.88 - 30.88
48,奥轩GX5,2321,广汽吉奥,0.00 - 0.00
49,挑战者SUV,1863,曙光汽车,0.00 - 0.00
50,勇士,1700,北京汽车制造厂,9.98 - 16.17
51,锋驭,1627,长安铃木,0.00 - 0.00
52,北京BW007,1090,北京汽车制造厂,0.00 - 0.00
53,奥丁,778,郑州日产,0.00 - 0.00
54,猎豹CS6,502,猎豹汽车,0.00 - 0.00
55,威麟X5,433,奇瑞威麟,0.00 - 0.00
56,众泰T600,433,众泰汽车,7.98 - 13.78
57,楼兰,381,东风日产,23.88 - 37.58
58,陆霸,318,北京汽车制造厂,0.00 - 0.00
59,骑士S12,124,北京汽车制造厂,0.00 - 0.00
60,金杯S50,8,华晨雷诺,0.00 - 0.00
