排名,车型,销量,厂商,售价(万元)
1,轩逸,538680,东风日产,9.98 - 14.30
2,朗逸,417328,上汽大众,9.99 - 16.19
3,卡罗拉,343417,一汽丰田,10.98 - 15.98
4,宝来,326341,一汽-大众,9.88 - 15.70
5,速腾,299839,一汽-大众,12.89 - 19.29
6,英朗,295865,上汽通用别克,11.99 - 12.59
7,思域,234479,东风本田,11.99 - 16.99
8,帝豪,223369,吉利汽车,6.98 - 9.88
9,雷凌,222361,广汽丰田,11.38 - 15.28
10,雅阁,210576,广汽本田,17.98 - 25.98
11,凯美瑞,185140,广汽丰田,17.98 - 27.98
12,桑塔纳,175725,上汽大众,8.69 - 11.59
13,奥迪A6L,171561,一汽-大众奥迪,40.98 - 65.38
14,迈腾,164686,一汽-大众,18.69 - 30.99
15,宝马5系,158921,华晨宝马,42.69 - 54.99
16,宝马3系,154324,华晨宝马,29.39 - 40.99
17,奔驰C级,152300,北京奔驰,30.78 - 47.48
18,奔驰E级,149900,北京奔驰,42.98 - 64.28
19,逸动,146527,长安汽车,7.29 - 10.39
20,君威,135877,上汽通用别克,17.28 - 25.98
21,科鲁泽,133024,上汽通用雪佛兰,8.99 - 12.29
22,奥迪A4L,130906,一汽-大众奥迪,30.58 - 39.68
23,帕萨特,128882,上汽大众,18.59 - 28.29
24,宏光MINI EV,126603,上汽通用五菱,2.88 - 3.88
25,天籁,121651,东风日产,17.98 - 26.98
26,凌派,113379,广汽本田,9.98 - 16.98
27,亚洲龙,106015,一汽丰田,19.98 - 28.98
28,YARiS L 致炫,88300,广汽丰田,7.78 - 10.38
29,马自达3 昂克赛拉,85191,长安马自达,11.59 - 18.99
30,高尔夫,83354,一汽-大众,12.98 - 18.02
31,艾瑞泽GX,76741,奇瑞汽车,7.59 - 11.39
32,悦动,74221,北京现代,8.49 - 11.59
33,缤瑞,72360,吉利汽车,7.58 - 11.08
34,领克03,69775,领克,11.38 - 24.88
35,奔驰A级,68063,北京奔驰,21.18 - 29.98
36,凌渡,66020,上汽大众,14.29 - 19.69
37,荣威i5,63462,上汽集团,6.89 - 11.59
38,飞度,62612,广汽本田,7.38 - 10.88
39,红旗H5,61862,一汽红旗,14.58 - 19.08
40,名爵6,61730,上汽名爵,9.38 - 14.28
41,骐达TIIDA,60374,东风日产,9.99 - 13.59
42,INSPIRE,55170,东风本田,18.28 - 24.98
43,君越,54976,上汽通用别克,21.98 - 28.98
44,威驰,53594,一汽丰田,7.38 - 11.18
45,领动,49630,北京现代,10.98 - 14.68
46,Model 3,48874,特斯拉中国,26.57 - 41.98
