排名,厂商,销量,占销量份额
1,上汽大众,1749240,7.12%
2,一汽-大众,1389743,5.66%
3,吉利汽车,1247516,5.08%
4,上汽通用别克,1173900,4.78%
5,东风日产,1116739,4.55%
6,上汽通用五菱,1016232,4.14%
7,上汽通用五菱,922405,3.75%
8,长城汽车,850156,3.46%
9,长安福特,832919,3.39%
10,长安汽车,813207,3.31%
11,北京现代,781083,3.18%
12,东风本田,709452,2.89%
13,广汽本田,701369,2.86%
14,一汽丰田,689238,2.81%
15,一汽-大众奥迪,552004,2.25%
16,上汽通用雪佛兰,474868,1.93%
17,广汽乘用车,457670,1.86%
18,广汽丰田,442380,1.8%
19,北京奔驰,422558,1.72%
20,奇瑞汽车,416178,1.69%
21,比亚迪,404788,1.65%
22,上汽集团,389192,1.58%
23,华晨宝马,385557,1.57%
24,东风悦达起亚,359528,1.46%
25,长安汽车,342361,1.39%
26,上汽斯柯达,324986,1.32%
27,众泰汽车,312974,1.27%
28,东风小康,274615,1.12%
29,北汽幻速,261803,1.07%
30,东风标致,235087,0.96%
31,东风风行,217356,0.88%
32,江淮汽车,216623,0.88%
33,长安马自达,192053,0.78%
34,广汽菲克Jeep,185655,0.76%
35,通用凯迪拉克,168200,0.68%
36,东南汽车,150272,0.61%
37,东风启辰,140502,0.57%
38,华晨鑫源,134448,0.55%
39,东风乘用车,132593,0.54%
40,华泰汽车,131627,0.54%
41,上汽名爵,130002,0.53%
42,东风雪铁龙,128737,0.52%
43,一汽马自达,124190,0.51%
44,猎豹汽车,122750,0.5%
45,广汽三菱,117388,0.48%
46,BEIJING汽车,108269,0.44%
47,力帆汽车,101434,0.41%
48,一汽奔腾,101346,0.41%
49,一汽海马,98506,0.4%
50,沃尔沃亚太,91496,0.37%
51,开瑞汽车,90546,0.37%
52,华晨中华,89982,0.37%
53,SWM斯威汽车,88174,0.36%
54,北汽昌河,86972,0.35%
55,长安铃木,83896,0.34%
56,长城汽车,81858,0.33%
57,东风雷诺,72188,0.29%
58,比速汽车,72092,0.29%
59,一汽吉林,67044,0.27%
60,北汽新能源,61941,0.25%
61,奇瑞捷豹路虎,61915,0.25%
62,北汽昌河,52975,0.22%
63,江铃集团新能源,47278,0.19%
64,东风小康,45677,0.19%
65,宝沃汽车,44380,0.18%
66,凯翼汽车,42903,0.17%
67,北京越野,41600,0.17%
68,海马汽车,37644,0.15%
69,知豆电动车,36660,0.15%
70,野马汽车,34548,0.14%
71,上汽大通,32024,0.13%
72,昌河铃木,30670,0.12%
73,福田汽车,29779,0.12%
74,奇瑞捷豹路虎,28355,0.12%
75,东风英菲尼迪,27766,0.11%
76,天津一汽,27012,0.11%
77,潍柴汽车,23547,0.1%
78,华晨雷诺,22481,0.09%
79,江铃轻卡,21365,0.09%
80,福建奔驰,20391,0.08%
81,汉腾汽车,20241,0.08%
82,东风裕隆,18689,0.08%
83,郑州日产,17231,0.07%
84,观致汽车,14959,0.06%
85,康迪电动汽车集团,14745,0.06%
86,广汽讴歌,13475,0.05%
87,长城汽车,12033,0.05%
88,江铃汽车,11314,0.05%
89,江铃福特,10955,0.04%
90,,10024,0.04%
91,郑州日产,9738,0.04%
92,福汽新龙马,9638,0.04%
93,东风风度,9325,0.04%
94,绵阳金杯,7085,0.03%
95,DS汽车,6088,0.02%
96,腾势汽车,4713,0.02%
97,一汽红旗,4665,0.02%
98,曙光汽车,4360,0.02%
99,华晨华颂,4091,0.02%
100,江西五十铃,3577,0.01%
101,启辰,2704,0.01%
102,东南三菱,2395,0.01%
103,广汽理念,2388,0.01%
104,广汽菲克菲亚特,2276,0.01%
105,福迪汽车,1619,0.01%
106,北京汽车制造厂,1056,-
107,广汽吉奥,6,-
