排名,品牌名称,国别,销量,占品牌份额
1,大众,德国,2619839,13.23%
2,本田,日本,1635928,8.26%
3,丰田,日本,1532840,7.74%
4,吉利,中国,1123425,5.67%
5,日产,日本,1103634,5.57%
6,别克,美国,920873,4.65%
7,长安,中国,792836,4%
8,哈弗,中国,750450,3.79%
9,五菱汽车,中国,669187,3.38%
10,奥迪,德国,638308,3.22%
11,奔驰,德国,619050,3.13%
12,宝马,德国,609161,3.08%
13,奇瑞,中国,449493,2.27%
14,荣威,中国,435550,2.2%
15,现代,韩国,433848,2.19%
16,比亚迪,中国,404279,2.04%
17,雪佛兰,美国,309155,1.56%
18,广汽传祺,中国,300681,1.52%
19,宝骏,中国,287308,1.45%
20,福特,美国,255318,1.29%
21,起亚,韩国,252516,1.27%
22,名爵,中国,243173,1.23%
23,凯迪拉克,美国,225927,1.14%
24,马自达,日本,222976,1.13%
25,红旗,中国,196182,0.99%
26,领克,中国,173809,0.88%
27,沃尔沃,瑞典,156089,0.79%
28,捷达,德国,142954,0.72%
29,长安欧尚,中国,141524,0.71%
30,斯柯达,捷克,141033,0.71%
31,捷途,中国,130683,0.66%
32,新宝骏,中国,122326,0.62%
33,东风风光,中国,109819,0.55%
34,江淮,中国,98230,0.5%
35,东风风行,中国,96340,0.49%
36,启辰,中国,80441,0.41%
37,金杯,中国,80427,0.41%
38,奔腾,中国,80138,0.4%
39,三菱,日本,75399,0.38%
40,WEY,中国,67590,0.34%
41,BEIJING汽车,中国,60286,0.3%
42,SWM斯威汽车,中国,53531,0.27%
43,英菲尼迪,日本,51283,0.26%
44,广汽埃安,中国,49517,0.25%
45,欧拉,中国,48160,0.24%
46,上汽MAXUS,中国,48157,0.24%
47,路虎,英国,45516,0.23%
48,蔚来,中国,44493,0.22%
49,东风风神,中国,42115,0.21%
50,东风小康,中国,40622,0.21%
51,Jeep,美国,40607,0.21%
52,比速汽车,中国,31582,0.16%
53,凯翼,中国,29493,0.15%
54,标致,法国,28554,0.14%
55,北京,中国,25134,0.13%
56,,,23193,0.12%
57,林肯,美国,21881,0.11%
58,铃木,日本,21871,0.11%
59,雪铁龙,法国,20160,0.1%
60,理想,中国,19797,0.1%
61,威马汽车,中国,19728,0.1%
62,北汽新能源,中国,19180,0.1%
63,长城,中国,18901,0.1%
64,星途,中国,18251,0.09%
65,小鹏汽车,中国,18114,0.09%
66,潍柴汽车,中国,16755,0.08%
67,捷豹,英国,16104,0.08%
68,东风,中国,15151,0.08%
69,特斯拉,美国,14730,0.07%
70,哪吒汽车,中国,13905,0.07%
71,东南,中国,13060,0.07%
72,观致,中国,12140,0.06%
73,讴歌,日本,11196,0.06%
74,几何汽车,中国,9553,0.05%
75,思皓,中国,9410,0.05%
76,宝沃,德国,8703,0.04%
77,欧尚汽车,中国,7117,0.04%
78,中华,中国,6849,0.03%
79,北汽昌河,中国,6463,0.03%
80,思铭,中国,6104,0.03%
81,海马,中国,5930,0.03%
82,福田,中国,5460,0.03%
83,广汽集团,中国,5040,0.03%
84,云度,中国,4470,0.02%
85,野马汽车,中国,4229,0.02%
86,腾势,中国,4175,0.02%
87,众泰,中国,3903,0.02%
88,江铃集团新能源,中国,3121,0.02%
89,福汽启腾,中国,3040,0.02%
90,零跑汽车,中国,3024,0.02%
91,福田乘用车,中国,2673,0.01%
92,理念,中国,2380,0.01%
93,北汽制造,中国,2248,0.01%
94,北汽幻速,中国,2124,0.01%
95,长安凯程,中国,1915,0.01%
96,开瑞,中国,1847,0.01%
97,五十铃,日本,1719,0.01%
98,陆风,中国,1704,0.01%
99,雷诺,法国,1418,0.01%
100,大运汽车,中国,1351,0.01%
101,国机智骏,中国,1153,0.01%
102,江铃,中国,1128,0.01%
103,SERES赛力斯,中国,1051,0.01%
104,爱驰,中国,881,-
105,凌宝汽车,中国,829,-
106,枫叶汽车,中国,727,-
107,HYCAN合创,中国,659,-
108,DS,法国,435,-
109,力帆汽车,中国,425,-
110,北汽威旺,中国,400,-
111,云雀汽车,中国,398,-
112,东风风度,中国,83,-
113,福迪,中国,68,-
114,雷丁,中国,29,-
115,新特汽车,中国,22,-
116,纳智捷,中国,14,-
