排名,车型,销量,厂商,售价(万元)
1,唐新能源,31405,比亚迪,19.78 - 31.48
2,比亚迪e6,20605,比亚迪,0.00 - 0.00
3,云100,16417,众泰新能源,0.00 - 0.00
4,荣威e550,11708,上汽集团,0.00 - 0.00
5,比亚迪e5,10531,比亚迪,22.07 - 23.07
6,众泰E200,9241,众泰新能源,0.00 - 0.00
7,知豆D2,9091,知豆电动车,0.00 - 0.00
8,江淮iEV,8513,江淮汽车,0.00 - 0.00
9,众泰Z500新能源,5840,众泰新能源,11.39 - 12.59
10,北汽新能源EC,4128,北汽新能源,5.58 - 5.58
11,江铃E200L,3962,江铃集团新能源,5.38 - 6.38
12,芝麻,3471,众泰新能源,0.00 - 0.00
13,江淮iEV6S,2599,江淮汽车,0.00 - 0.00
14,腾势,2287,腾势汽车,29.88 - 32.88
15,晨风,1916,东风启辰,24.28 - 26.18
16,荣威E50,1495,上汽集团,0.00 - 0.00
17,全球鹰K17,1063,康迪电动汽车集团,0.00 - 0.00
18,全球鹰K11,1002,康迪电动汽车集团,15.28 - 18.18
19,普锐斯,18,一汽丰田,0.00 - 0.00
