排名,车型,销量,厂商,售价(万元)
1,五菱宏光,650045,上汽通用五菱,4.28 - 6.98
2,哈弗H6,580683,长城汽车,9.80 - 15.49
3,科鲁兹,544415,上汽通用雪佛兰,0.00 - 0.00
4,朗逸,478940,上汽大众,9.99 - 16.19
5,英朗,370376,上汽通用别克,11.99 - 12.59
6,宝骏730,370169,上汽通用五菱,6.08 - 10.88
7,轩逸,367979,东风日产,9.98 - 14.30
8,捷达,348437,一汽-大众,7.98 - 10.68
9,速腾,341333,一汽-大众,12.89 - 19.29
10,传祺GS4,333280,广汽乘用车,8.98 - 15.18
11,宝骏560,321555,上汽通用五菱,6.98 - 11.78
12,卡罗拉,306541,一汽丰田,10.98 - 15.98
13,福睿斯,296867,长安福特,8.08 - 11.68
14,桑塔纳,282815,上汽大众,8.69 - 11.59
15,昂科威,275383,上汽通用别克,18.99 - 27.99
16,朗动,254027,北京现代,11.58 - 12.78
17,途观,240493,上汽大众,0.00 - 0.00
18,帝豪,229804,吉利汽车,6.98 - 9.88
19,福克斯,225924,长安福特,10.88 - 15.38
20,宝来,219313,一汽-大众,9.88 - 15.70
21,长安CS75,209353,长安汽车,10.39 - 11.99
22,五菱荣光V,197184,上汽通用五菱,3.98 - 4.98
23,哈弗H2,196926,长城汽车,7.59 - 9.59
24,瑞风S3,196839,江淮汽车,6.79 - 8.79
25,起亚K3,191911,东风悦达起亚,10.88 - 13.18
26,帕萨特,188214,上汽大众,18.59 - 28.29
27,本田CR-V,180319,东风本田,16.98 - 27.68
28,奇骏,180202,东风日产,18.88 - 27.33
29,Polo,180150,上汽大众,9.99 - 12.39
30,高尔夫,178374,一汽-大众,12.98 - 18.02
31,威朗,177202,上汽通用别克,15.29 - 18.29
32,途胜,176687,北京现代,16.99 - 21.99
33,长安CS35,172712,长安汽车,6.39 - 8.79
34,迈腾,171283,一汽-大众,18.69 - 30.99
35,缤智,164084,广汽本田,12.78 - 17.68
36,本田XR-V,161867,东风本田,12.79 - 17.59
37,雷凌,159071,广汽丰田,11.38 - 15.28
38,逸动,156372,长安汽车,7.29 - 10.39
39,明锐,155098,上汽斯柯达,9.99 - 16.14
40,欧诺,152607,长安汽车,0.00 - 0.00
41,起亚K2,152447,东风悦达起亚,7.29 - 10.39
42,名图,148254,北京现代,13.38 - 16.98
43,圣达菲00,146233,华泰汽车,0.00 - 0.00
44,五菱之光,143737,上汽通用五菱,3.23 - 3.66
45,宝马5系,143626,华晨宝马,42.69 - 54.99
46,凌渡,143145,上汽大众,14.29 - 19.69
47,逍客,139684,东风日产,15.49 - 18.89
48,远景,137687,吉利汽车,4.99 - 7.39
49,雅阁,136246,广汽本田,17.98 - 25.98
50,马自达3 昂克赛拉,135784,长安马自达,11.59 - 18.99
51,奥迪A6L,135730,一汽-大众奥迪,40.98 - 65.38
52,领动,131987,北京现代,10.98 - 14.68
53,比亚迪F3,130114,比亚迪,4.49 - 5.08
54,奥迪Q5,129453,一汽-大众奥迪,0.00 - 0.00
55,艾瑞泽5,129239,奇瑞汽车,4.99 - 8.58
56,锐界,123690,长安福特,22.98 - 38.98
57,北汽威旺M20,120916,北汽昌河,3.68 - 4.18
58,瑞虎3,118417,奇瑞汽车,5.99 - 7.99
59,欧尚,118185,长安汽车,5.89 - 8.49
60,威驰,116957,一汽丰田,7.38 - 11.18
61,瑞纳,116513,北京现代,4.99 - 7.39
62,RAV4荣放,116460,一汽丰田,17.48 - 25.88
63,飞度,116415,广汽本田,7.38 - 10.88
64,翼虎,115083,长安福特,16.98 - 24.98
65,北京现代ix25,113468,北京现代,10.58 - 13.68
66,五菱荣光,113312,上汽通用五菱,3.68 - 5.38
67,众泰T600,112691,众泰汽车,7.98 - 13.78
68,博越,109209,吉利汽车,8.88 - 15.68
69,悦翔V7,108415,长安汽车,0.00 - 0.00
70,自由光,106827,广汽菲克Jeep,17.98 - 31.98
71,北汽幻速H3,106634,北汽幻速,0.00 - 0.00
72,奔驰C级,105401,北京奔驰,30.78 - 47.48
73,凯越,105033,上汽通用别克,8.39 - 9.99
74,中华V3,103463,华晨中华,5.07 - 8.77
75,蒙迪欧,103274,长安福特,19.28 - 27.98
76,海马S5,102607,海马汽车,6.98 - 10.98
77,北汽幻速S3,102501,北汽幻速,5.38 - 6.98
78,凯美瑞,100611,广汽丰田,17.98 - 27.98
79,标致408,100156,东风标致,11.77 - 16.97
80,宋,100042,比亚迪,6.98 - 9.38
81,奥迪A4L,97421,一汽-大众奥迪,30.58 - 39.68
82,宝马3系,97112,华晨宝马,29.39 - 40.99
83,汉兰达,92000,广汽丰田,23.98 - 32.58
84,菱智,90700,东风风行,5.99 - 9.99
85,天籁,90279,东风日产,17.98 - 26.98
86,大迈X5,90039,众泰汽车,0.00 - 0.00
87,荣威RX5,90033,上汽集团,9.98 - 13.98
88,思域,90014,东风本田,11.99 - 16.99
89,奥迪Q3,88901,一汽-大众奥迪,27.18 - 36.18
90,凌派,87405,广汽本田,9.98 - 16.98
91,奔驰GLC,87275,北京奔驰,39.48 - 58.78
92,爱丽舍,87132,东风雪铁龙,8.38 - 10.28
93,迈锐宝,85180,上汽通用雪佛兰,16.49 - 18.99
94,奥迪A3,84784,一汽-大众奥迪,19.32 - 26.85
95,东南DX7,84462,东南汽车,8.99 - 13.99
96,荣威360,82861,上汽集团,0.00 - 0.00
97,绅宝X25,81359,BEIJING汽车,0.00 - 0.00
98,君越,80966,上汽通用别克,21.98 - 28.98
99,长安欧尚CX70,80564,长安汽车,5.99 - 10.99
100,别克GL8,79600,上汽通用别克,23.29 - 52.99
101,蓝鸟,78976,东风日产,9.59 - 13.39
102,凯迪拉克XTS,76757,通用凯迪拉克,0.00 - 0.00
103,智跑,76476,东风悦达起亚,11.99 - 14.89
104,标致308,75123,东风标致,8.97 - 13.07
105,阳光,74413,东风日产,0.00 - 0.00
106,绅宝X35,74182,BEIJING汽车,0.00 - 0.00
107,标致301,73641,东风标致,8.47 - 10.77
108,雪铁龙C3-XR,73461,东风雪铁龙,9.48 - 11.89
109,启辰T70,72399,东风启辰,8.98 - 12.78
110,昂科拉,71945,上汽通用别克,12.59 - 15.59
111,北京现代ix35,71938,北京现代,11.99 - 16.19
112,锋范,71734,广汽本田,0.00 - 0.00
113,风行S500,71653,东风风行,5.99 - 7.09
114,猎豹CS10,71114,猎豹汽车,7.98 - 11.98
115,君威,69300,上汽通用别克,17.28 - 25.98
116,朗行,69274,上汽大众,11.29 - 16.29
117,哈弗H1,69232,长城汽车,0.00 - 0.00
118,KX3傲跑,68913,东风悦达起亚,10.88 - 12.58
119,昕锐,67149,上汽斯柯达,7.79 - 9.99
120,赛欧,65939,上汽通用雪佛兰,6.29 - 7.99
121,比亚迪S7,65360,比亚迪,9.99 - 13.99
122,瑞风,64572,江淮汽车,9.99 - 16.38
123,YARiS L 致炫,63443,广汽丰田,7.78 - 10.38
124,金刚,63413,吉利汽车,0.00 - 0.00
125,帝豪GS,60521,吉利汽车,7.78 - 11.68
126,风光580,60057,东风小康,7.99 - 12.30
127,奔驰E级,57439,北京奔驰,42.98 - 64.28
128,瑞虎5,55075,奇瑞汽车,8.88 - 12.38
129,宝马X1,54914,华晨宝马,27.88 - 33.98
130,华晨金杯750,54781,华晨鑫源,5.38 - 7.33
131,东风风神AX7,53523,东风乘用车,8.98 - 14.39
132,博瑞,51828,吉利汽车,13.68 - 17.98
133,奔奔MINI,50968,长安汽车,0.00 - 0.00
134,科沃兹,50786,上汽通用雪佛兰,7.99 - 9.99
135,马自达CX-5,50147,长安马自达,17.98 - 24.58
136,宝骏310,50028,上汽通用五菱,3.68 - 6.08
137,起亚KX5,49078,东风悦达起亚,15.48 - 18.18
138,名爵GS,48937,上汽名爵,9.88 - 17.88
139,哈弗H7,48903,长城汽车,14.20 - 18.00
140,瑞风S2,48884,江淮汽车,5.78 - 7.68
141,小海狮X30,48876,华晨鑫源,3.39 - 4.68
142,途安,48370,上汽大众,15.18 - 19.48
143,K5凯酷,47304,东风悦达起亚,16.18 - 20.58
144,长安CS15,46691,长安汽车,5.59 - 8.09
145,元,45838,比亚迪,0.00 - 0.00
146,北汽幻速S6,45345,北汽幻速,0.00 - 0.00
147,标致3008,44293,东风标致,13.97 - 14.97
148,丰顺,43145,力帆汽车,3.28 - 4.94
149,荣威350,42581,上汽集团,0.00 - 0.00
150,翼搏,42393,长安福特,0.00 - 0.00
151,远景X6,42392,吉利汽车,6.89 - 9.99
152,景逸X3,42316,东风风行,6.69 - 8.69
153,速派,41692,上汽斯柯达,15.49 - 22.99
154,福美来,41461,一汽海马,6.88 - 9.28
155,维特拉,41175,长安铃木,0.00 - 0.00
156,哥瑞,40806,东风本田,0.00 - 0.00
157,骐达TIIDA,40322,东风日产,9.99 - 13.59
158,奥德赛,40029,广汽本田,22.98 - 37.68
159,奔驰GLK级,39979,北京奔驰,0.00 - 0.00
160,众泰SR7,39343,众泰汽车,0.00 - 0.00
161,风云2,39244,奇瑞汽车,0.00 - 0.00
162,森雅R7,38934,一汽吉林,6.69 - 10.69
163,野马T70,38293,野马汽车,0.00 - 0.00
164,创酷,37636,上汽通用雪佛兰,9.99 - 13.99
165,驭胜S350,37346,江铃汽车,12.18 - 20.18
166,普拉多,37289,一汽丰田,49.48 - 50.48
167,圣达菲,37022,华泰汽车,6.98 - 16.18
168,索纳塔九,35998,北京现代,0.00 - 0.00
169,阿特兹,35950,一汽马自达,17.58 - 24.78
170,东风小康K07II,35935,东风小康,0.00 - 0.00
171,桑塔纳·浩纳,35525,上汽大众,0.00 - 0.00
172,劲炫ASX,35146,广汽三菱,9.98 - 13.98
173,C4世嘉,34834,东风雪铁龙,0.00 - 0.00
174,凯迪拉克XT5,34775,通用凯迪拉克,32.97 - 47.27
175,东风风神AX3,34689,东风乘用车,6.39 - 8.19
176,奔腾B30,34507,一汽奔腾,8.68 - 8.68
177,悦纳,34502,北京现代,0.00 - 9.68
178,瑞虎7,34178,奇瑞汽车,7.99 - 14.98
179,奔腾B50,34103,一汽奔腾,12.68 - 15.28
180,起亚K4,34100,东风悦达起亚,12.88 - 18.88
181,金牛座,34043,长安福特,22.89 - 28.89
182,速锐,33539,比亚迪,0.00 - 0.00
183,海马M3,33497,海马汽车,0.00 - 0.00
184,秦Pro,32524,比亚迪,7.98 - 11.59
185,杰德,32024,东风本田,0.00 - 0.00
186,标致2008,31831,东风标致,10.99 - 14.99
187,马自达CX-4,31428,一汽马自达,14.88 - 21.58
188,唐新能源,31405,比亚迪,19.78 - 31.48
189,绅宝X55,31298,BEIJING汽车,7.68 - 11.98
190,艾力绅,31097,东风本田,24.98 - 32.88
191,北汽昌河M50,30979,北汽昌河,0.00 - 0.00
192,优6 SUV,30817,东风裕隆,0.00 - 0.00
193,奇瑞QQ,30746,奇瑞汽车,3.79 - 5.09
194,长安之星3,30468,长安汽车,2.99 - 3.99
195,智尚S30,30215,绵阳金杯,0.00 - 0.00
196,帝豪GL,30037,吉利汽车,7.78 - 13.98
197,皇冠,29941,一汽丰田,25.08 - 37.48
198,一汽-大众CC,29148,一汽-大众,24.68 - 30.18
199,中华H330,28739,华晨中华,0.00 - 0.00
200,景逸X5,28323,东风风行,6.99 - 12.98
201,昕动,27527,上汽斯柯达,7.79 - 10.99
202,北汽威旺306,27485,北汽昌河,3.18 - 4.68
203,长城C30,27407,长城汽车,0.00 - 0.00
204,北斗星,27312,昌河铃木,4.20 - 4.40
205,瑞风S5,27057,江淮汽车,8.95 - 13.95
206,索纳塔八,26649,北京现代,0.00 - 0.00
207,发现神行,26557,奇瑞捷豹路虎,0.00 - 0.00
208,Yeti,26350,上汽斯柯达,0.00 - 0.00
209,自由侠,26264,广汽菲克Jeep,12.98 - 19.08
210,世嘉,25488,东风雪铁龙,0.00 - 0.00
211,悦动,24258,北京现代,8.49 - 11.59
212,绅宝D50,24085,BEIJING汽车,6.99 - 9.99
213,思铂睿,23487,东风本田,17.99 - 26.79
214,东风风神A60,23303,东风乘用车,6.97 - 15.47
215,哈弗H5,23299,长城汽车,10.78 - 13.68
216,启辰R50,22605,东风启辰,0.00 - 0.00
217,胜达,22438,北京现代,20.28 - 27.28
218,奔腾X80,22039,一汽奔腾,0.00 - 0.00
219,科帕奇,21956,上汽通用雪佛兰,17.99 - 20.99
220,启悦,21896,长安铃木,7.89 - 10.99
221,绅宝D20,21885,BEIJING汽车,0.00 - 0.00
222,北汽威旺S50,21174,北汽昌河,0.00 - 0.00
223,斯威X7,20866,华晨鑫源,0.00 - 0.00
224,比亚迪e6,20605,比亚迪,0.00 - 0.00
225,楼兰,20537,东风日产,23.88 - 37.58
226,凯翼X3,20069,凯翼汽车,6.39 - 7.59
227,科雷嘉,19585,东风雷诺,0.00 - 0.00
228,雨燕,19324,长安铃木,0.00 - 0.00
229,上汽大通MAXUS G10,18573,上汽大通,13.98 - 22.98
230,雪铁龙C4L,18472,东风雪铁龙,10.69 - 14.19
231,北京BJ20,18007,北京越野,0.00 - 0.00
232,五菱征程,17611,上汽通用五菱,0.00 - 0.00
233,花冠,17511,一汽丰田,0.00 - 0.00
234,锐行,17327,上汽名爵,0.00 - 0.00
235,英菲尼迪Q50L,17241,东风英菲尼迪,26.48 - 38.98
236,艾瑞泽7,17152,奇瑞汽车,0.00 - 0.00
237,锐志,16851,一汽丰田,0.00 - 0.00
238,英致737,16835,潍柴汽车,4.98 - 8.78
239,云100,16417,众泰新能源,0.00 - 0.00
240,众泰Z360,16416,众泰汽车,0.00 - 0.00
241,力帆X50,15938,力帆汽车,0.00 - 0.00
242,奇瑞E3,15825,奇瑞汽车,0.00 - 0.00
243,奇瑞E5,15648,奇瑞汽车,0.00 - 0.00
244,力帆X60,15611,力帆汽车,0.00 - 0.00
245,迈威,15555,力帆汽车,0.00 - 0.00
246,沃尔沃XC60,15440,沃尔沃亚太,36.29 - 47.09
